status,homepro_name,homepro_brand,homepro_url,homepro_price,expected_twd_name,expected_twd_url,expected_twd_price,matched_twd_name,matched_twd_url,confidence
NOT_FOUND,พัดลมตั้งโต๊ะ 16 นิ้ว SHARP PJ-TA165SN สีขาว,SHARP,https://www.homepro.co.th/p/1252540,798.0,พัดลมตั้งโต๊ะ 16 นิ้ว SHARP รุ่น PJ-TA165SN สีขาวหิมะ,https://www.thaiwatsadu.com/th/sku/60405083,798.0,,,0
NOT_FOUND,พัดลมตั้งโต๊ะ 18 นิ้ว HATARI T18M1 สีฟ้า,HATARI,https://www.homepro.co.th/p/1236384,1098.0,พัดลมตั้งโต๊ะ 18 นิ้ว HATARI รุ่น T18M1 สีฟ้า,https://www.thaiwatsadu.com/th/sku/60388285,1098.0,,,0
NOT_FOUND,พัดลมตั้งโต๊ะ 16 นิ้ว HATARI T16M1 สีฟ้า,HATARI,https://www.homepro.co.th/p/1191311,848.0,พัดลมตั้งโต๊ะ HATARI รุ่น T16M1 ขนาด 16 นิ้ว สีฟ้า,https://www.thaiwatsadu.com/th/sku/60359072,848.0,,,0
NOT_FOUND,พัดลมสไลด์ 16 นิ้ว SHARP PJ-SL163LB สีฟ้าอ่อน,SHARP,https://www.homepro.co.th/p/1235870,918.0,พัดลมสไลด์ 16 นิ้ว SHARP รุ่น PJ-SL163LB สีฟ้า,https://www.thaiwatsadu.com/th/sku/60389992,918.0,,,0
NOT_FOUND,ขาปัก RAINDROP 001,RAINDROP,https://www.homepro.co.th/p/63824,12.0,ขาปักมินิสปริงเกลอร์เล็ก มีล็อก ไชโย รุ่น 392 ขนาด 30 ซม. สีดำ,https://www.thaiwatsadu.com/th/sku/60343671,5.5,,,0
NOT_FOUND,ข้องอ 45-บาง SCG 3 นิ้ว สีฟ้า,SCG,https://www.homepro.co.th/p/1055247,40.0,ข้องอ 45 องศา บาง ตรามือ รุ่น 55003 ขนาด 3 นิ้ว สีฟ้า,https://www.thaiwatsadu.com/th/sku/60184781,47.0,,,0
NOT_FOUND,ข้องอ 45-หนา SCG 1/2 นิ้ว สีฟ้า,SCG,https://www.homepro.co.th/p/1055014,6.0,ข้องอ 45 องศา หนา ตรามือ รุ่น 50101-E ขนาด 1/2 นิ้ว สีฟ้า,https://www.thaiwatsadu.com/th/sku/60378883,6.0,,,0
NOT_FOUND,ข้องอ 90-หนา SCG 1 นิ้ว สีฟ้า,SCG,https://www.homepro.co.th/p/1055005,12.0,ข้องอหนา 90 องศา SCG ขนาด 1 นิ้ว สีฟ้า,https://www.thaiwatsadu.com/th/sku/60378353,11.5,,,0
NOT_FOUND,ข้องอพีวีซี 90 องศา SCG 3 นิ้ว สีฟ้า,SCG,https://www.homepro.co.th/p/1055353,50.0,ข้องอ 90 องศา บาง ตรามือ รุ่น 55103 ขนาด 3 นิ้ว สีฟ้า,https://www.thaiwatsadu.com/th/sku/60184787,55.0,,,0
NOT_FOUND,ข้องอบาง 45 องศา ท่อน้ำไทย 4 นิ้ว สีฟ้า,ท่อน้ำไทย,https://www.homepro.co.th/p/5662,104.0,ข้องอบาง 45 องศา น้ำไทย ขนาด 4 นิ้ว สีฟ้า,https://www.thaiwatsadu.com/th/sku/60343887,110.0,,,0
NOT_FOUND,"ข้องอเกลียวใน ท่อน้ำไทย 1/2"" สีฟ้า",ท่อน้ำไทย,https://www.homepro.co.th/p/31846,8.0,งอ 90 องศา เกลียวใน น้ำไทย รุ่น 13.5 18 ขนาด 1/2 นิ้ว สีฟ้า,https://www.thaiwatsadu.com/th/sku/60269697,8.0,,,0
NOT_FOUND,"ข้องอเกลียวในทองเหลือง ท่อน้ำไทย 1/2"" สีฟ้า",ท่อน้ำไทย,https://www.homepro.co.th/p/5577,51.5,งอ 90 องศา เกลียวในทองเหลือง น้ำไทย รุ่น 13.5 18 ขนาด 1/2 นิ้ว สีฟ้า,https://www.thaiwatsadu.com/th/sku/60269699,51.5,,,0
NOT_FOUND,ข้อต่อตรงลด-หนา SCG 3/4X1/2 นิ้ว สีฟ้า,SCG,https://www.homepro.co.th/p/1054907,6.0,ต่อตรงลด ตรามือ รุ่น 50301 ขนาด 3/4 x 1/2 นิ้ว สีฟ้า,https://www.thaiwatsadu.com/th/sku/60184625,5.5,,,0
NOT_FOUND,ปั๊มอัตโนมัติ MITSUBISHI WP-305R2 300 วัตต์,MITSUBISHI,https://www.homepro.co.th/p/1283230,7990.0,ปั๊มน้ำอัตโนมัติ 300 วัตต์ MITSUBISHI ELECTRIC รุ่น WP-305R2,https://www.thaiwatsadu.com/sku/60422667,7980.0,,,0
NOT_FOUND,ผ้าใบ SPRING 2x3 ม. สีฟ้า-ขาว,SPRING,https://www.homepro.co.th/p/190724,97.0,ผ้าใบพลาสติก ตรา 99 ขนาด 2 x 3 เมตร สีฟ้า - ขาว,https://www.thaiwatsadu.com/th/sku/60234173,105.0,,,0
NOT_FOUND,พลาสติกคลุมเห็ด SAFARI 0.10 มม. 5 กก. สีดำ,ซาฟารี,https://www.homepro.co.th/p/1121860,549.0,พลาสติกปูพื้น ตรา99 ขนาด 2 x 10 เมตร สีดำ,https://www.thaiwatsadu.com/th/sku/60400651,388.0,,,0
NOT_FOUND,ข้อต่อสามทางตั้งฉาก PVC SCG 1/2 นิ้ว สีฟ้า,SCG,https://www.homepro.co.th/p/1094547,22.0,สามทางตั้งฉาก ตรามือ รุ่น 54001 ขนาด 1/2 นิ้ว สีฟ้า,https://www.thaiwatsadu.com/th/sku/60184758,20.0,,,0
NOT_FOUND,เก้าอี้พลาสติก SPRING CC07 สีขาว,SPRING,https://www.homepro.co.th/p/1003115,299.0,เก้าอี้พลาสติกพนักพิง POP รุ่นอินสปาย สีขาว,https://www.thaiwatsadu.com/th/sku/60259407,263.0,,,0
NOT_FOUND,เครื่องทำน้ำอุ่น STIEBEL DS 45 EC 4500 วัตต์,STIEBEL,https://www.homepro.co.th/p/1119551,4990.0,"เครื่องทำน้ำอุ่น 4,500 วัตต์ STIEBEL ELTRON รุ่น DS 45EC สีขาว",https://www.thaiwatsadu.com/th/sku/60292938,4790.0,,,0
NOT_FOUND,เครื่องเล็มหญ้าไร้สาย (พร้อมแบตเตอรี่) ROWEL RW-GT-DGT300 20 โวลต์,ROWEL,https://www.homepro.co.th/p/1271913,3990.0,เครื่องเล็มหญ้าไร้สาย 20 โวลต์ ROWEL รุ่น RW-GT-DGT300 สีน้ำเงิน,https://www.thaiwatsadu.com/sku/60418111,3990.0,,,0
NOT_FOUND,โต๊ะอเนกประสงค์เหลี่ยม SURE T45120 สีขาว,SURE,https://www.homepro.co.th/p/1008164,850.0,โต๊ะพับพ่นขาดำหน้าเมลามีน STG ขนาด 120 x 45 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60241289,938.0,,,0
