Product_name,Product_name_link,Thaiwatsadu_price,Thaiwatsadu_link,DoHome_price,DoHome_link,Thaiwatsadu_SKU,Thaiwatsadu_exist,Dohome_exist,Both_exist
ประตูภายนอก UPVC ECO DOOR รุ่น ED2 80x200 cm สีขาวทูโทนโอ๊ค เจาะ,http://spy.price2spy.com/product/519814597,2290.0,https://www.thaiwatsadu.com/th/sku/60421927,2290.0,https://www.dohome.co.th/th/ecodoor-upvc-exterior-door-80x200-cm-model-ed2-brown-white-drilled-10417763.html?srsltid=AfmBOoopYjdZXHBdaHXu4Zdze2KJHzYmjI-x3J-bM8tDTK4prk1sw1nw,60421927,True,True,True
ประตูภายนอก uPVC ECO DOOR รุ่น TLW ขนาด 70 x 200 ซม. สีขาว (เจาะลูกบิด),http://spy.price2spy.com/product/479590565,1690.0,https://www.thaiwatsadu.com/th/sku/60387831,1690.0,https://www.dohome.co.th/th/upvc-grooved-doorprofile-70-x-200-cm-tlw-punched-10334581.html?srsltid=AfmBOopzHjx6j1p9XhbPPklvLvhvWdmu58hjrYcBlH2IiYHTz-jMhYBb,60387831,True,True,True
ประตูภายนอก uPVC ECO DOOR รุ่น TLW ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),http://spy.price2spy.com/product/419487950,1690.0,https://www.thaiwatsadu.com/th/sku/60387911,1690.0,https://www.dohome.co.th/th/upvc-grooved-doorprofile-80-x-200-cm-tlw-punched-10334582.html,60387911,True,True,True
ประตูภายนอก uPVC ECO DOOR รุ่น UPVC2 ขนาด 80 x 200 ซม. สีขาว (ไม่เจาะลูกบิด),http://spy.price2spy.com/product/140822861,2490.0,https://www.thaiwatsadu.com/th/sku/60255374,2490.0,https://www.dohome.co.th/th/upvc-door-80-200-cm-no-eco-door-2-white-10344254.html,60255374,True,True,True
ประตูภายนอก uPVC ECO DOOR รุ่น UPVC2C ขนาด 80 x 200 ซม. สีขาว (ไม่เจาะลูกบิด),http://spy.price2spy.com/product/466605805,2490.0,https://www.thaiwatsadu.com/th/sku/60255377,2480.0,https://www.dohome.co.th/th/upvc-door-80-200-cm-no-eco-door-2c-white-10344253.html,60255377,True,True,True
ประตูภายนอก uPVC ECO DOOR รุ่น UPVC6 ขนาด 80 x 200 ซม. สีขาว (ไม่เจาะลูกบิด),http://spy.price2spy.com/product/355861906,1990.0,https://www.thaiwatsadu.com/th/sku/60255381,1990.0,https://www.dohome.co.th/th/eco-door-exterior-upvc-door-80x200cm-6-white-10344256.html,60255381,True,True,True
ประตูภายนอก UPVC ECO-DOOR รุ่น UPVC4 80x200 cm สีขาว (ไม่เจาะลูกบิด),http://spy.price2spy.com/product/519814533,1990.0,https://www.thaiwatsadu.com/th/sku/60255380,1990.0,https://www.dohome.co.th/th/eco-door-exterior-upvc-door-80x200cm-4-white-10344257.html,60255380,True,True,True
ประตูภายใน 4 ลูกฟัก HDF วนชัย รุ่น ศรีวิชัย ขนาด 80 x 200 ซม. สีรองพื้นขาว (ไม่เจาะลูกบิด),http://spy.price2spy.com/product/396378542,560.0,https://www.thaiwatsadu.com/th/sku/60110463,625.9,https://www.dohome.co.th/th/hdf-mullion-door-size-80-x-200-cm-no-401-kalpapruek-10025213.html,60110463,True,True,True
ประตูภายใน HDF HI DOOR รุ่น HD-2 80x200 สีทูโทนเทา (เจาะลูกบิด),http://spy.price2spy.com/product/536666733,1450.0,https://www.thaiwatsadu.com/th/sku/60421987,2490.0,https://www.dohome.co.th/th/rakangthong-hdf-door-80x200cm-modern-no-f04-light-grey-10406581.html,60421987,True,True,True
ประตูภายใน PVC BATHIC รุ่น BP1 70x180 cm สีเทา (เจาะลูกบิด),http://spy.price2spy.com/product/524885065,890.0,https://www.thaiwatsadu.com/th/sku/60328865,950.0,https://www.dohome.co.th/th/bathic-bathroom-door-pvc-70x180cm-no-bp1-grey-drilled-10406280.html?srsltid=AfmBOooFsCXNXTmCx2lbwHKjTC9S_7Y-i7U30B7HAFkPscrP7ICwiC_c,60328865,True,True,True
