megahome_name,megahome_brand,megahome_price,megahome_url,thaiwatsadu_name,thaiwatsadu_brand,thaiwatsadu_price,thaiwatsadu_url,text_similarity,issue
สีน้ำทาภายนอก NIPPON PAINT SUPER SERVE BASE A กึ่งเงา 2.5 แกลลอน,NIPPON PAINT,1050,https://www.megahome.co.th/p/1236126,สีน้ำกึ่งเงา ภายนอก NIPPON รุ่น ซุปเปอร์เซิฟ ขนาด 2.5 แกลลอน สีเบส A,NIPPON PAINT,1030,https://www.thaiwatsadu.com/th/sku/60381992,51.5,Low text similarity - different naming conventions
สีน้ำทาภายนอก BEGERCOOL DIAMONDSHIELD 15 #SW-8800 สี SUPER WHITE เนียน 2.5 แกลลอน,BEGER,2050,https://www.megahome.co.th/p/1220581,สีน้ำกึ่งเงา ภายนอก 9 ลิตร BEGER รุ่น COOL DIAMONDSHIELD เกรด 15 ปี GW8800 สีซูเปอร์ไวท์,BEGER,2330,https://www.thaiwatsadu.com/th/sku/60373366,52.1,Low text similarity - different naming conventions
น้ำยาเคลือบหิน BEGER PU HYBRID A200 1 แกลลอน,BEGER,800,https://www.megahome.co.th/p/1191323,สีเคลือบเงาอะคริลิก BEGER รุ่น A-200 สูตรน้ำ พียูไฮบริด ขนาด 1 แกลลอน สีใส,BEGER,700,https://www.thaiwatsadu.com/th/sku/60365815,52.5,Low text similarity - different naming conventions
สีน้ำทาภายนอก NIPPON PAINT JUNIOR99 สีขาว ด้าน 5 แกลลอน,NIPPON PAINT,1050,https://www.megahome.co.th/p/1022249,สีน้ำภายนอก ด้าน NIPPON รุ่น จูเนียร์ 99 ขนาด 17.5 ลิตร. สี 900 ขาว,NIPPON PAINT,993,https://www.thaiwatsadu.com/th/sku/60193816,54.1,Low text similarity - different naming conventions
ประตูห้องน้ำ UPVC ECO-DOOR TLW 70X200 ซม. สีขาว เจาะลูกบิด,ECO-DOOR,1690,https://www.megahome.co.th/p/1234741,ประตูภายนอก UPVC ECO DOOR รุ่น TLW ขนาด 70 x 200 ซม. สีขาว (เจาะลูกบิด),ECO-DOOR,1690,https://www.thaiwatsadu.com/th/sku/60387831,54.3,Low text similarity - different naming conventions
ประตูห้องน้ำ UPVC ECO-DOOR PD1 70X200 ซม. สีครีมเทา ทูโทน เจาะลูกบิด,ECO-DOOR,1590,https://www.megahome.co.th/p/1242188,ประตูภายใน UPVC ECO DOOR รุ่น PD1 ขนาด 70 x 200 ซม. สีครีมทูโทนเทา (เจาะลูกบิด),ECO-DOOR,1590,https://www.thaiwatsadu.com/th/sku/60416137,54.4,Low text similarity - different naming conventions
สีน้ำทาภายนอก BEGER CoolDiamondd 10 BASE A กึ่งเงา 2.5 แกลลอน,BEGER,1670,https://www.megahome.co.th/p/238016,สีน้ำกึ่งเงา ภายนอก 9 ลิตร BEGER รุ่น COOL DIAMONDSHIELD เกรด 10 ปี สีเบส A,BEGER,1650,https://www.thaiwatsadu.com/th/sku/60142868,54.4,Low text similarity - different naming conventions
ประตูห้องน้ำ UPVC ECO-DOOR PG2 70X200 ซม. สีขาว เจาะลูกบิด,ECO-DOOR,1490,https://www.megahome.co.th/p/1200647,ประตูภายใน UPVC ECO DOOR รุ่น PG2 ขนาด 70 x 200 ซม. สีขาว (เจาะลูกบิด),ECO DOOR,1490,https://www.thaiwatsadu.com/th/sku/60368107,54.7,Low text similarity - different naming conventions
สีรองพื้นปูนเก่า CAPTAIN REPAINT 5 แกลลอน,CAPTAIN,2950,https://www.megahome.co.th/p/266430,น้ำยาปรับสภาพปูนเก่า REPAINT รุ่น 2000 ขนาด 5 แกลลอน สีขาว,CAPTAIN,2950,https://www.thaiwatsadu.com/th/sku/60165342,56.1,Low text similarity - different naming conventions
วงกบประตูไม้สังเคราะห์ WPC ECO-DOOR 80x200 ซม. สีโอ๊ค,ECO-DOOR,990,https://www.megahome.co.th/p/1110489,วงกบประตู WPC ECO DOOR รุ่น OVSM-100 ขนาด 80 x 200 ซม. สีโอ๊ก,ECO DOOR,990,https://www.thaiwatsadu.com/th/sku/60281123,56.1,Low text similarity - different naming conventions
สีน้ำทาภายนอก DULUX WEATHERSHIELD ULTIMA ADVANCE BASE A กึ่งเงา 2.5 แกลลอน,DULUX,2090,https://www.megahome.co.th/p/1193009,สีน้ำทาภายนอก กึ่งเงา DULUX รุ่น เวเธ่อร์ชีลด์ แอดวานซ์ ขนาด 9 ลิตร สีเบส A,DULUX,2090,https://www.thaiwatsadu.com/th/sku/60363150,56.3,Low text similarity - different naming conventions
