status,homepro_name,homepro_brand,homepro_url,expected_twd_name,expected_twd_url,matched_twd_name,matched_twd_url,confidence
NOT_FOUND,สายเชื่อม ARCTECH 50SQ/1300/20M 50 ตร.ม. 20 ม. สีดำ,ARCTECH,https://www.homepro.co.th/p/1131093,"สายเชื่อมทองแดง (ตัดขายเป็นเมตร) PROTON รุ่น 1,200 เส้น ขนาด 50 ตร.มม. สีดำ",https://www.thaiwatsadu.com/th/sku/60161794,,,0
NOT_FOUND,เส้นเอ็น KING LAIKER NO.80,KING LAIKER,https://www.homepro.co.th/p/1128895,สายเอ็นสะท้อนแสง (หัวสิงห์) SPOA ขนาด 0.8 มม. x 35 เมตร สีเขียว,https://www.thaiwatsadu.com/th/sku/60310251,,,0
NOT_FOUND,เส้นเอ็น KING LAIKER NO.70,KING LAIKER,https://www.homepro.co.th/p/1128890,สายเอ็นสะท้อนแสง (หัวสิงห์) SPOA ขนาด 0.7 มม. x 65 เมตร สีเขียว,https://www.thaiwatsadu.com/th/sku/60310250,,,0
NOT_FOUND,ประแจอเนกประสงค์ HACHI 9-32 มม.,HACHI,https://www.homepro.co.th/search?q=%E0%B8%AD%E0%B8%B0%E0%B9%84%E0%B8%AB%E0%B8%A5%E0%B9%88%E0%B8%A5%E0%B8%B9%E0%B8%81%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%89%E0%B8%87%E0%B8%97%E0%B8%B2%E0%B8%AA%E0%B8%B5+HACHI+,อะไหล่ลูกกลิ้งทาสี HACHI ขนาด 4 นิ้ว สีดำ - ส้ม,https://www.thaiwatsadu.com/th/sku/60270102,,,0
NOT_FOUND,อ่างเปลผสมปูนไนลอน W.PLASTIC 220 ลิตร สีฟ้า,W.PLASTIC,https://www.homepro.co.th/p/1126644,อ่างเปลผสมปูนไนล่อน ช่างมือโปร ขนาด 200 ลิตร สีดำ,https://www.thaiwatsadu.com/th/sku/60192259,,,0
NOT_FOUND,กระดาษกาวย่น 3M 24 มม.x25หลา,3M,https://www.homepro.co.th/p/274114,เทปกระดาษกาวย่น SCOTCH รุ่น XT002077672 ขนาด 24 มม. x 25 หลา สีขาว,https://www.thaiwatsadu.com/th/sku/60121671,,,0
NOT_FOUND,เทปกาว 2 หน้า ชนิดแรงยึดสูง 3M 12 มม. x 10 ม.,3M,https://www.homepro.co.th/p/1217104,เทปกาวสองหน้าแรงยึดติดสูง SCOTCH ขนาด 12 มม. x 10 เมตร สีดำ,https://www.thaiwatsadu.com/th/sku/60373913,,,0
NOT_FOUND,แท่นตัดกระเบื้อง PUMPKIN 600 มม.,PUMPKIN,https://www.homepro.co.th/p/1151601,แท่นตัดกระเบื้อง PUMPKIN รุ่น 27173 ขนาด 24 นิ้ว สีส้ม - ดำ,https://www.thaiwatsadu.com/th/sku/60309332,,,0
NOT_FOUND,กระทะลึก TEFAL SO CHEF IH 28 ซม.,TEFAL,https://www.homepro.co.th/p/1135201,กระทะด้ามนอนสติ๊กทรงลึก So Chef TEFAL รุ่น G1358696 ขนาด 28 ซม. สีแดง,https://www.thaiwatsadu.com/th/sku/60314035,,,0
NOT_FOUND,มีดโกน ด้ามยาว GILLETTE MACH 3 SENSITIVE NEW LOOK 1 ด้าม,GILLETTE,https://www.homepro.co.th/p/1070591,ด้ามมีดโกนหนวด ยิลเล็ตต์ รุ่นมัคทรีเซนซิทิฟ สีเขียว,https://www.thaiwatsadu.com/th/sku/60286526,,,0
NOT_FOUND,ผ้าทำความสะอาดคราบมันในครัว FARCENT 21x12cm สีขาว,FARCENT,https://www.homepro.co.th/p/266572,ทิชชูทำความสะอาดอุปกรณ์ในครัว ฟาร์เซ้นท์ รุ่น WW-7502 (บรรจุ 30 แผ่น) สีส้ม,https://www.thaiwatsadu.com/th/sku/60286520,,,0
NOT_FOUND,น้ำยาทำความสะอาดพื้น SPACLEAN 700 มล. ROMANTIC ROSE แพ็ก 1 แถม 1,SPACLEAN,https://www.homepro.co.th/p/1227473,น้ำยาถูพื้นแบบถุง สปาคลีน ขนาด 700 มล. (แพ็ก 1 แถม 1) สีชมพู กลิ่นโรแมนติกโรส,https://www.thaiwatsadu.com/th/sku/60369459,,,0
NOT_FOUND,น้ำยาทำความสะอาดเตาเซรามิก HG 250ml (HOB CLEANER EXTRA STRONG),HG,https://www.homepro.co.th/p/1046540,น้ำยาทำความสะอาดเตาเซรามิก สูตรเข้มข้น HG ขนาด 250 มล.,https://www.thaiwatsadu.com/th/sku/60315172,,,0
NOT_FOUND,รีฟิลน้ำยาปรับผ้านุ่ม DOWNY 1.1L FRESH BOUQUET,DOWNY,https://www.homepro.co.th/p/1154839,น้ำยาปรับผ้านุ่ม ถุงเติม DOWNY ขนาด 1.1 ลิตร กลิ่นหอมช่อดอกไม้อันแสนสดชื่น,https://www.thaiwatsadu.com/th/sku/60336031,,,0
NOT_FOUND,น้ำหอมปรับอากาศ FARCENT 250ml SWEET STRAWBERRY,FARCENT,https://www.homepro.co.th/p/1163060,น้ำหอม FARCENT รุ่นไฮทีซีรีย์ AA2891 P กลิ่นสวีทสตอเบอร์ลี่ ขนาด 250 มล. สีชมพู,https://www.thaiwatsadu.com/th/sku/60329907,,,0
NOT_FOUND,ก้อนล้างจานสำหรับเครื่องล้างจาน SOMAT 431.6 กรัม 26 ก้อน,SOMAT,https://www.homepro.co.th/p/1194381,ผลิตภัณฑ์ทำความสะอาดจาน สำหรับเครื่องล้างจาน SOMAT ขนาด 440 กรัม สีแดง,https://www.thaiwatsadu.com/th/sku/60326325,,,0
NOT_FOUND,สเปรย์ขจัดคราบฝังแน่นบนผ้า HG EXTRA 500ml,HG,https://www.homepro.co.th/p/208018?lang=th&gad_source=1&gclid=CjwKCAjwreW2BhBhEiwAavLwfBkjCcIAnkhazsUH7RTNK1J9wEWH2i5rTFv4RhSDAV4N8T_KOzvjDxoCbksQAvD_BwE,สเปรย์ขจัดคราบสกปรกบนพรมเฟอร์นิเจอร์บุผ้า สูตรพลังออกซิเจน เอชจี เอ็กซ์ตร้า ขนาด 500 มล.,https://www.thaiwatsadu.com/th/sku/60315204,,,0
NOT_FOUND,เจลปรับอากาศ FARCENT EGG 170g LAVENDER,FARCENT,https://www.homepro.co.th/p/253015,เจลหอมปรับอากาศ รูปไข่ FARCENT รุ่น กลิ่นลาเวนเดอร์ ขนาด 170 กรัม สีม่วง,https://www.thaiwatsadu.com/th/sku/60210409,,,0
NOT_FOUND,หน้ากากกันน้ำ HACO 3 ช่อง PR W222R/S-E20 สีขาว,HACO,https://www.homepro.co.th/p/1169021,กล่องกันน้ำแบบลอย พร้อมเต้ารับคู่มีกราวด์ HACO รุ่น PR-W222R/S-E20. สีขาว,https://www.thaiwatsadu.com/th/sku/60366319,,,0
NOT_FOUND,คลิปก้ามปู PVC ตราช้างNPI 3/8 นิ้ว สีเหลือง,ตราช้างเอ็นพีไอ,https://www.homepro.co.th/p/1067133,คลิปก้ามปู TOP ขนาด 3/8 นิ้ว สีเหลือง,https://www.thaiwatsadu.com/th/sku/60267508,,,0
NOT_FOUND,ชุดรางนีออน LED EVE T8 SAVER 22 วัตต์ DAYLIGTH,EVE,https://www.homepro.co.th/p/1162482,ชุดราง LED T8 EVE LIGHTING รุ่น LED Full Set Saver กำลัง 22 วัตต์ Daylight,https://www.thaiwatsadu.com/th/sku/60325457,,,0
NOT_FOUND,ชุดรางนีออน LED RACER T8 SPRING FULL SET HIGH LUMEN 10 วัตต์ DAYLIGHT,RACER,https://www.homepro.co.th/p/1254887,ชุดรางหลอดไฟ T8 LED 10W Daylight RACER รุ่น Spring Full Set High,https://www.thaiwatsadu.com/th/sku/60405904,,,0
NOT_FOUND,ดาวน์ไลท์ LED HI-TEK ECO HFLEPR012W ROUND 6 นิ้ว 12 วัตต์ WARM WHITE สีขาว,HI-TEK,https://www.homepro.co.th/p/1080584,โคมดาวน์ไลท์หน้ากลม 5 นิ้ว LED 12W Daylight HI-TEK รุ่น ECO HFLEPR12D สีขาว,https://www.thaiwatsadu.com/th/sku/60331652,,,0
NOT_FOUND,สปอตไลท์ SOLAR LAMPTAN ARC 150 วัตต์ DAYLIGHT สีเทา/ดำ,LAMPTAN,https://www.homepro.co.th/p/1276989?srsltid=AfmBOooHME-q2sIDLsIWvpOrSb0gHHWNDZMcZ_1SGAeOidTl2mwQxRBU,โคมฟลัดไลท์โซลาร์เซลล์ LED 150W Daylight LAMPTAN รุ่น ARC 150W/DL สีเทา,https://www.thaiwatsadu.com/th/sku/60425553,,,0
NOT_FOUND,สปอตไลท์ SOLAR LAMPTAN ARC 300 วัตต์ DAYLIGHT สีเทา/ดำ,LAMPTAN,https://www.homepro.co.th/p/1277004?srsltid=AfmBOooMn8Ksj2CFiPFq0ZgGlS5jMEDOQUweNociwcQk2WgAZUHGBq20,โคมฟลัดไลท์โซลาร์เซลล์ LED 300W Daylight LAMPTAN รุ่น ARC 300W/DL สีเทา,https://www.thaiwatsadu.com/th/sku/60425554,,,0
NOT_FOUND,ไฟหัวเสา SOLAR RACER POSTTOP PALACE1 30 วัตต์ DAYLIGHT/COOL WHITE/WARM WHITE สีดำ,RACER,https://www.homepro.co.th/p/1264776?srsltid=AfmBOorXWXpAI3adfVjowz1ucOc8vuPV25drJZ4viGVkZClZW4smO5Wi,โคมไฟหัวเสาโซลาร์เซลล์ พร้อมรีโมต 30W Tri-color RACER รุ่น PALACE 1 สีดำ,https://www.thaiwatsadu.com/th/sku/60415192,,,0
NOT_FOUND,ไฟหัวเสา SOLAR RACER POSTTOP PALACE2 30 วัตต์ DAYLIGHT/COOL WHITE/WARM WHITE สีดำ,RACER,https://www.homepro.co.th/p/1264749?srsltid=AfmBOooHDa7Izo_neI_SkMUEdjCwpDwmcrFMexFiPkANE3G7HX-DnZlp,โคมไฟหัวเสาโซลาร์เซลล์ พร้อมรีโมต 30W Tri-color RACER รุ่น PALACE 2 สีดำ,https://www.thaiwatsadu.com/th/sku/60415193,,,0
NOT_FOUND,ไฟทางเดิน SOLAR RACER BOLLARD PALACE2 30 วัตต์ DAYLIGHT/COOL WHITE/WARM WHITE สีดำ,RACER,https://www.homepro.co.th/p/1264775?srsltid=AfmBOooC3gsl1ZhEA-Kaq3uuZKdlF3oOprZjMfnpmAjFibaabmwM5qxg,โคมไฟเสาสนามโซลาร์เซลล์ พร้อมรีโมต 30W Tri-Color RACER รุ่น PALACE 2 สีดำ,https://www.thaiwatsadu.com/th/sku/60409868,,,0
NOT_FOUND,"ทีวี คิวแอลอีดี 55 นิ้ว TCL (4K, QLED, GOOGLE TV) 55P7K",TCL,https://www.homepro.co.th/p/1291303?srsltid=AfmBOoqADK5ucm5A0yXZmN_PecRvE62leYrFkWq1e4mwLtkhbGsBwkDv,ทีวี QLED 55 นิ้ว 4K Google TV TCL รุ่น 55P7K,https://www.thaiwatsadu.com/sku/60426732,,,0
NOT_FOUND,ขาแขวน M-CABLE MMOUNT-333,MMOUNT,https://www.homepro.co.th/p/1176816,ขาแขวนทีวีติดผนัง 23-50 นิ้ว ROSS รุ่น LNTA200-TW / BN5B/HS-TW สีดำ,https://www.thaiwatsadu.com/th/sku/60296506,,,0
NOT_FOUND,ผ้าไมโครไฟเบอร์ทำความสะอาดรถ ACCO 40X60 ซม. สีน้ำเงิน (แพ็ก 2 ชิ้น),ACCO,https://www.homepro.co.th/p/1277719,ผ้าเช็ครถไมโครไฟเบอร์ MARPA รุ่น PNO 7077 สีฟ้า,https://www.thaiwatsadu.com/th/sku/60301190,,,0
NOT_FOUND,แก๊สกระป๋อง ALTA AL-103 แพ็ค 3 กระป๋อง,ALTA,https://www.homepro.co.th/p/1133401,แก๊สกระป๋อง APELEE รุ่น AP-9001 ขนาด 20 x 20 x 10.5 ซม. (แพ็ค 3 กระป๋อง) สีเขียว,https://www.thaiwatsadu.com/th/sku/60263241,,,0
NOT_FOUND,ขาปัก RAINDROP 001,RAINDROP,https://www.homepro.co.th/p/63824,ขาปักมินิสปริงเกลอร์เล็ก มีล็อก ไชโย รุ่น 392 ขนาด 30 ซม. สีดำ,https://www.thaiwatsadu.com/th/sku/60343671,,,0
NOT_FOUND,ข้องอพีวีซี 90 องศา SCG 3 นิ้ว สีฟ้า,SCG,https://www.homepro.co.th/p/1055353,ข้องอ 90 องศา บาง ตรามือ รุ่น 55103 ขนาด 3 นิ้ว สีฟ้า,https://www.thaiwatsadu.com/th/sku/60184787,,,0
NOT_FOUND,ดินเพาะกล้า SPRING 10 กก.,SPRING,https://www.homepro.co.th/p/1178739,ดินสีดา ขนาด 11 กก.,https://www.thaiwatsadu.com/th/sku/60030671,,,0
NOT_FOUND,ผ้าใบ SPRING 2x3 ม. สีฟ้า-ขาว,SPRING,https://www.homepro.co.th/p/190724,ผ้าใบพลาสติก ตรา 99 ขนาด 2 x 3 เมตร สีฟ้า - ขาว,https://www.thaiwatsadu.com/th/sku/60234173,,,0
NOT_FOUND,โต๊ะอเนกประสงค์เหลี่ยม SURE T45120 สีขาว,SURE,https://www.homepro.co.th/p/1008164,โต๊ะพับพ่นขาดำหน้าเมลามีน STG ขนาด 120 x 45 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60241289,,,0
